(0, 0)
(7, 1)
(3, -5)
(6, 3)
(-1, 2)
(-5, -7)
(9, -7)
(4, -9)
(0, 3)
(3, 5)
(4, -1)
(9, -2)
(-7, -1)
(1, 8)
(4, 3)
(4, -2)
(-2, 1)
(1, -8)
(0, -2)
(6, -5)
(5, -8)
(7, 5)
(-4, 8)
(9, 7)
(9, 0)
(5, 6)
(8, 6)
(-6, -6)
(0, 4)
(-5, 6)
(-8, -3)
(6, 0)
(-2, -9)
(-4, -1)
(9, -4)
(1, -7)
(5, -9)
(-9, 8)
(0, -8)
(4, 4)
(4, 6)
(1, -2)
(9, 2)
(2, 9)
(-6, 8)
(3, -4)
(3, 4)
(1, 6)
(-9, -7)
(3, -2)
(6, 5)
(-6, -2)
(7, -7)
(0, -7)
(5, -1)
(-9, 0)
(9, -9)
(-2, 4)
(-4, 0)
(-4, 9)
(8, -5)
(1, -9)
(5, 1)
(5, -2)
(-7, -3)
(-8, 6)
(8, -4)
(-5, 1)
(-2, 5)
(-9, 2)
(-2, 0)
(5, -3)
(0, 9)
(-9, -9)
(-1, 8)
(7, 7)
(1, 3)
(-4, 7)
(-8, 1)
(2, 5)
(0, -5)
(4, 0)
(9, 1)
(7, 2)
(0, 5)
(3, 8)
(-4, -4)
(8, 0)
(0, 0)
